,account_id,open_date,statement_frequency,district_name,num_customers,credit_cards,loan_amount,loan_payments,loan_term,loan_status,loan,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
77,90,1994-07-13,monthly,Hl.m. Praha,1,0,,,,,F,,25120,15,110,74107,500
78,91,1996-11-06,monthly,Pelhrimov,1,0,,,,,F,,34700,1,42,77111,-4188
79,93,1996-06-12,monthly,Benesov,1,0,,,,,F,,24400,15,66,38377,500
80,95,1995-03-30,monthly,Hl.m. Praha,2,1,,,,,F,,32000,15,92,97808,200
81,96,1993-02-18,monthly,Frydek - Mistek,2,1,,,,,F,,67500,15,146,156580,1100
82,97,1996-05-05,monthly,Ostrava - mesto,2,1,102876.0,8573.0,12.0,A,T,F,18600,3,67,67288,900
83,98,1997-05-02,monthly,Brno - venkov,2,0,,,,,F,,7700,15,41,25586,1100
84,99,1995-06-27,monthly,Hl.m. Praha,1,0,,,,,F,,64900,15,93,122885,600
85,100,1993-12-28,monthly,Usti nad Labem,1,0,,,,,F,,35040,15,145,84377,600
86,101,1996-04-16,monthly,Jablonec n. Nisou,1,0,,,,,F,,46240,15,71,81423,1000
87,102,1993-10-16,monthly,Praha - zapad,1,0,,,,,F,,29600,0,118,96777,-7104
88,103,1996-03-10,monthly,Chrudim,1,0,265320.0,7370.0,36.0,D,T,T,62700,4,84,124758,-1140
89,104,1993-04-15,monthly,Litomerice,2,0,,,,,F,,8700,15,133,31741,500
90,105,1997-07-10,monthly,Tabor,1,1,352704.0,7348.0,48.0,C,T,F,29900,15,30,74694,800
91,106,1994-11-27,monthly,Vyskov,1,1,,,,,F,,18800,15,99,76991,500
92,107,1993-11-05,monthly,Zlin,1,0,,,,,F,,5760,15,152,50612,1000
93,108,1995-03-10,monthly,Blansko,1,1,,,,,F,,34720,15,94,88609,800
94,109,1997-04-20,monthly,Blansko,1,1,,,,,F,,9100,15,70,53624,1100
95,110,1996-07-17,monthly,Liberec,1,1,162576.0,4516.0,36.0,C,T,F,44480,15,61,79652,900
96,112,1993-03-12,monthly,Kutna Hora,2,0,,,,,F,,38500,15,141,52895,200
97,113,1996-07-22,monthly,Brno - venkov,1,0,,,,,F,,6800,15,55,32697,600
98,114,1997-03-14,monthly,Prostejov,1,0,,,,,F,,6000,15,39,27332,500
99,115,1993-03-19,monthly,Frydek - Mistek,1,1,,,,,F,,11100,15,158,52047,800
100,116,1996-03-21,monthly,Mlada Boleslav,2,0,,,,,F,,31400,15,68,77466,800
101,117,1993-09-05,monthly,Tachov,1,0,,,,,F,,11200,15,129,32382,900
102,118,1997-09-18,monthly,Frydek - Mistek,1,0,,,,,F,,5000,15,37,40532,600
103,119,1993-05-25,monthly,Plzen - jih,1,0,,,,,F,,21200,15,135,70508,800
104,121,1997-10-11,monthly,Brno - venkov,1,0,,,,,F,,5600,15,39,37504,200
105,122,1996-10-30,monthly,Tachov,1,1,,,,,F,,29400,15,53,86062,900
106,123,1993-03-13,monthly,Tabor,2,0,,,,,F,,4500,15,135,27494,200
107,124,1997-12-28,monthly,Brno - venkov,1,0,,,,,F,,4900,15,29,26468,800
108,126,1993-10-23,monthly,Kolin,1,0,,,,,F,,48900,15,140,118219,200
109,127,1994-02-02,monthly,Rokycany,1,0,,,,,F,,6400,15,119,23673,600
110,128,1993-02-19,monthly,Benesov,1,1,,,,,F,,21900,15,208,86413,300
111,129,1997-10-01,monthly,Ostrava - mesto,2,0,,,,,F,,7200,15,31,29052,600
112,130,1997-02-12,monthly,Brno - mesto,1,0,,,,,F,,7350,15,42,35067,300
113,131,1995-06-13,monthly,Usti nad Orlici,1,0,,,,,F,,33000,15,90,48212,5496
114,134,1997-12-10,monthly,Chomutov,1,1,,,,,F,,12700,15,27,47697,300
115,135,1993-06-15,monthly,Prerov,1,0,,,,,F,,24700,15,161,75906,700
116,136,1996-05-14,monthly,Ostrava - mesto,1,0,,,,,F,,8100,15,60,32170,600
117,137,1996-07-19,monthly,Karvina,1,0,,,,,F,,36000,15,59,81958,900
118,138,1995-09-19,monthly,Domazlice,2,0,,,,,F,,4700,200,15,21200,1100
119,140,1996-06-25,monthly,Karlovy Vary,1,0,,,,,F,,24600,15,42,84824,300
120,141,1996-03-06,monthly,Louny,2,0,,,,,F,,45100,15,69,89665,900
121,142,1993-02-15,monthly,Trutnov,2,0,,,,,F,,6200,15,137,30167,900
122,143,1996-11-27,monthly,Tabor,1,0,,,,,F,,4500,15,47,27564,500
123,145,1996-01-03,monthly,Tachov,1,0,,,,,F,,28900,15,94,68969,1100
124,146,1993-09-02,monthly,Kladno,1,0,,,,,F,,11050,15,129,38814,500
125,148,1993-06-21,monthly,Mlada Boleslav,1,0,,,,,F,,3400,15,129,27206,500
126,149,1997-11-16,monthly,Hradec Kralove,1,0,,,,,F,,21200,15,44,58484,300
127,150,1995-03-16,monthly,Opava,1,0,,,,,F,,27400,15,130,98752,1900
128,151,1993-09-06,monthly,Sumperk,2,0,,,,,F,,7100,15,147,34425,1000
129,152,1996-04-12,monthly,Hl.m. Praha,2,0,,,,,F,,6300,15,76,35746,1100
130,153,1993-09-19,monthly,Vsetin,1,0,,,,,F,,17200,15,129,53039,400
131,154,1994-06-21,monthly,Nachod,1,0,,,,,F,,18900,15,111,96137,900
132,155,1995-11-07,monthly,Jihlava,1,0,,,,,F,,14560,15,95,38532,300
133,156,1997-10-22,monthly,Zlin,1,0,,,,,F,,8430,15,25,21707,1000
134,157,1997-03-28,monthly,Praha - zapad,1,0,,,,,F,,6300,15,40,39576,200
135,158,1995-03-15,monthly,Litomerice,2,0,,,,,F,,33200,15,91,83034,700
136,159,1997-02-11,monthly,Karvina,1,1,,,,,F,,25600,15,46,103034,800
137,160,1993-09-04,monthly,Cheb,1,0,,,,,F,,57100,15,152,113217,400
138,161,1994-07-04,monthly,Plzen - sever,1,0,,,,,F,,14450,15,109,29469,900
139,162,1993-08-25,monthly,Prostejov,2,0,,,,,F,,13900,15,125,40827,200
140,163,1993-01-27,monthly,Sokolov,1,0,,,,,F,,9050,15,141,43752,900
141,164,1996-09-13,monthly,Prostejov,1,0,,,,,F,,21700,100,32,67994,200
142,165,1993-06-01,monthly,Klatovy,2,0,,,,,F,,14650,15,135,62489,1000
143,166,1996-08-20,monthly,Pelhrimov,1,0,,,,,F,,4300,15,53,31842,800
144,168,1993-04-27,monthly,Tachov,2,0,,,,,F,,8100,15,133,24794,500
145,169,1995-09-28,monthly,Kladno,1,0,,,,,F,,14600,15,82,78256,500
146,170,1996-07-02,monthly,Kromeriz,1,0,,,,,F,,22100,15,62,79183,1000
147,171,1996-06-08,monthly,Nachod,1,0,,,,,F,,6700,15,63,33192,500
148,172,1993-08-30,monthly,Rakovnik,2,1,,,,,F,,46720,15,131,78889,700
149,173,1993-11-26,monthly,Zdar nad Sazavou,2,0,104808.0,8734.0,12.0,A,T,F,18560,15,156,87882,500
150,174,1996-09-04,monthly,Usti nad Orlici,1,0,,,,,F,,3400,15,57,21345,900
151,177,1997-09-26,monthly,Hl.m. Praha,1,0,,,,,F,,25300,15,32,75171,800
152,178,1997-09-06,monthly,Kromeriz,1,0,,,,,F,,2100,15,33,18082,1000
153,181,1996-06-11,monthly,Tabor,1,1,,,,,F,,10400,15,65,52501,200
154,182,1996-08-24,monthly,Pardubice,1,0,,,,,F,,5600,1900,6,16900,200
155,183,1993-12-12,monthly,Hradec Kralove,1,0,,,,,F,,21440,15,125,63967,200
156,184,1996-02-21,monthly,Vsetin,1,0,,,,,F,,24000,15,70,86912,600
157,185,1997-07-04,monthly,Ceska Lipa,1,1,,,,,F,,18900,15,37,79865,1000
158,187,1993-03-28,monthly,Kolin,1,0,,,,,F,,4200,15,135,26365,200
159,188,1993-04-20,monthly,Brno - mesto,1,0,,,,,F,,26080,15,139,100010,700
160,189,1997-04-16,monthly,Sumperk,1,0,,,,,F,,28320,15,42,76341,700
161,190,1995-03-02,monthly,Ostrava - mesto,1,0,,,,,F,,23500,15,97,69474,500
162,191,1997-03-17,monthly,Usti nad Labem,1,1,,,,,F,,48000,15,43,126097,600
163,192,1993-01-08,monthly,Brno - venkov,1,0,,,,,F,,13450,15,139,39284,300
164,193,1996-12-22,monthly,Jesenik,2,0,,,,,F,,11500,15,52,39963,300
165,194,1996-08-01,monthly,Chrudim,1,0,,,,,F,,5550,15,72,38894,400
166,195,1997-02-27,monthly,Karvina,2,1,,,,,F,,13100,15,46,56940,600
167,196,1993-11-14,monthly,Kladno,1,1,,,,,F,,29700,15,137,86238,400
168,197,1993-02-25,monthly,Hl.m. Praha,1,0,,,,,F,,43040,15,144,76344,800
169,198,1993-10-25,monthly,Karvina,1,0,,,,,F,,12450,15,121,30570,900
170,199,1996-10-26,monthly,Karvina,1,0,,,,,F,,2970,15,49,29612,700
171,200,1994-07-03,monthly,Pelhrimov,1,1,,,,,F,,47200,15,114,125341,900
172,201,1994-11-02,monthly,Vyskov,1,0,,,,,F,,15200,15,104,62199,600
173,204,1996-01-13,monthly,Bruntal,1,0,,,,,F,,1950,15,67,27125,600
174,205,1997-10-08,monthly,Hl.m. Praha,1,0,,,,,F,,6300,15,37,45527,1000
175,206,1995-04-08,monthly,Trebic,2,0,,,,,F,,8480,15,119,42635,1100
176,207,1993-07-25,monthly,Benesov,1,0,,,,,F,,8100,10,155,36471,900
177,208,1996-03-27,monthly,Brno - mesto,1,0,,,,,F,,17800,15,71,61131,700
178,209,1996-11-24,monthly,Litomerice,1,0,,,,,F,,4600,15,65,45817,900
179,210,1996-03-17,monthly,Rychnov nad Kneznou,1,0,,,,,F,,25120,15,69,56027,1000
180,211,1997-07-19,monthly,Plzen - sever,1,1,,,,,F,,59600,15,46,151101,800
181,213,1995-08-29,monthly,Opava,1,1,,,,,F,,26400,15,81,87659,1000
182,214,1997-03-09,monthly,Domazlice,2,0,,,,,F,,2130,15,39,17518,500
183,215,1997-11-25,monthly,Tachov,2,0,,,,,F,,4590,15,23,19113,1000
184,216,1994-05-16,monthly,Louny,1,0,,,,,F,,8600,15,108,36351,500
185,217,1995-01-20,monthly,Vsetin,1,0,,,,,F,,19700,15,97,48581,800
186,218,1996-02-06,monthly,Frydek - Mistek,1,0,,,,,F,,59800,0,104,146909,-2172
187,219,1995-09-06,monthly,Plzen - sever,1,1,,,,,F,,20800,15,80,81085,500
188,220,1993-04-09,monthly,Olomouc,1,0,,,,,F,,7850,15,133,36356,400
189,221,1996-10-30,monthly,Prachatice,1,0,,,,,F,,25400,15,54,69998,300
190,222,1993-03-15,monthly,Litomerice,1,1,,,,,F,,50800,15,140,106492,500
191,223,1995-06-13,monthly,Most,1,1,,,,,F,,25800,15,64,76631,800
192,224,1996-10-27,monthly,Cesky Krumlov,1,0,,,,,F,,9350,15,50,28997,1100
193,225,1993-07-28,monthly,Hl.m. Praha,2,0,,,,,F,,27520,2,179,92940,1000
194,226,1997-02-23,monthly,Karvina,1,1,109344.0,9112.0,12.0,C,T,F,23400,15,55,80433,1000
195,227,1995-03-28,monthly,Plzen - jih,1,1,,,,,F,,52000,15,91,119200,700
196,228,1993-09-28,monthly,Kolin,1,0,,,,,F,,53500,15,129,81057,800
197,229,1997-06-07,monthly,Hl.m. Praha,1,0,,,,,F,,3760,15,39,32493,1100
198,230,1996-02-26,monthly,Hl.m. Praha,2,0,,,,,F,,20300,15,70,66172,600
199,231,1995-04-03,monthly,Domazlice,2,0,,,,,F,,2700,15,91,21913,900
200,232,1997-11-29,monthly,Jicin,1,1,,,,,F,,46720,15,28,84657,700
201,234,1993-07-15,monthly,Opava,2,0,,,,,F,,11000,15,127,29550,500
202,235,1993-10-06,monthly,Usti nad Labem,1,0,,,,,F,,5070,15,127,30633,1000
203,236,1996-03-16,monthly,Olomouc,2,0,,,,,F,,3700,300,11,24700,900
204,237,1994-03-25,monthly,Svitavy,1,0,,,,,F,,6200,15,111,19487,900
205,238,1993-08-15,monthly,Kutna Hora,1,0,,,,,F,,2850,15,125,21972,500
206,240,1997-04-28,monthly,Olomouc,2,0,,,,,F,,23600,15,42,67915,300
207,241,1996-09-29,monthly,Cesky Krumlov,1,0,,,,,F,,5040,15,69,41009,500
208,242,1996-08-29,monthly,Jesenik,1,0,,,,,F,,47520,15,58,72333,500
209,244,1993-02-08,monthly,Karlovy Vary,1,1,,,,,F,,8370,15,175,62976,800
210,245,1993-11-25,monthly,Znojmo,1,0,,,,,F,,62800,0,148,135093,-1211
211,246,1997-12-20,monthly,Znojmo,2,0,,,,,F,,7500,15,23,19310,700
212,248,1995-04-02,monthly,Hl.m. Praha,1,0,,,,,F,,29700,15,91,74703,700
213,249,1996-12-03,monthly,Plzen - sever,1,0,,,,,F,,20800,15,52,64867,600
214,250,1997-05-10,monthly,Breclav,1,0,,,,,F,,5800,15,46,52311,500
215,251,1996-04-06,monthly,Ostrava - mesto,1,0,,,,,F,,13600,15,74,61297,900
216,252,1996-12-26,monthly,Prachatice,1,0,,,,,F,,6600,15,45,52630,1000
217,253,1995-12-05,monthly,Nachod,1,1,,,,,F,,47680,2,75,106815,-1213
218,255,1996-11-03,monthly,Frydek - Mistek,1,0,,,,,F,,40800,15,53,101534,900
219,256,1995-05-14,monthly,Litomerice,1,1,,,,,F,,34200,15,87,76527,1100
220,257,1995-11-05,monthly,Praha - zapad,1,0,,,,,F,,64500,15,83,136264,900
221,258,1997-07-09,monthly,Zlin,1,0,,,,,F,,5600,15,37,38349,900
222,259,1993-10-28,monthly,Benesov,1,0,,,,,F,,14650,15,122,37228,600
223,260,1995-10-14,monthly,Karlovy Vary,2,0,,,,,F,,19200,15,92,56754,600
224,261,1996-10-07,monthly,Brno - mesto,1,0,,,,,F,,8500,15,57,26402,200
225,262,1996-01-27,monthly,Prerov,1,0,,,,,F,,3300,200,11,23400,200
226,264,1996-02-09,monthly,Cesky Krumlov,1,0,,,,,F,,19520,15,92,44212,900
227,265,1996-07-05,monthly,Prachatice,2,0,,,,,F,,8300,15,61,28571,600
228,266,1994-05-11,monthly,Pardubice,1,1,,,,,F,,55800,15,114,137653,400
229,267,1995-04-26,monthly,Louny,2,0,,,,,F,,3840,15,85,30016,500
230,268,1996-05-29,monthly,Beroun,1,0,,,,,F,,42200,15,65,124186,500
231,269,1996-08-30,monthly,Beroun,1,0,,,,,F,,8670,15,72,43387,700
232,270,1995-01-23,monthly,Plzen - jih,2,1,,,,,F,,36960,15,96,116900,1100
233,271,1996-08-13,monthly,Hl.m. Praha,1,0,,,,,F,,12500,15,59,62743,400
234,272,1996-10-23,monthly,Praha - zapad,1,0,,,,,F,,34700,15,53,57855,1100
235,274,1993-08-20,monthly,Sumperk,1,0,,,,,F,,26240,15,132,68094,300
236,275,1996-01-02,monthly,Rokycany,1,0,,,,,F,,2400,15,73,22668,800
237,276,1997-12-08,monthly,Louny,1,1,160920.0,4470.0,36.0,C,T,F,24800,15,27,74906,700
238,278,1996-04-08,monthly,Opava,1,1,,,,,F,,23600,15,67,97478,700
239,279,1993-04-14,monthly,Most,2,0,,,,,F,,3300,15,133,32821,400
240,280,1993-01-23,monthly,Klatovy,1,0,,,,,F,,17440,15,159,69718,300
241,281,1996-10-27,monthly,Hl.m. Praha,2,1,,,,,F,,36320,15,70,72297,900
242,282,1997-05-12,monthly,Jesenik,2,0,,,,,F,,23400,15,39,69350,200
243,283,1996-04-18,monthly,Chrudim,1,0,,,,,F,,6950,15,61,30907,800
244,284,1997-07-18,monthly,Brno - mesto,1,0,,,,,F,,25100,15,39,66377,900
245,285,1995-05-08,monthly,Pelhrimov,2,0,,,,,F,,45120,15,91,105299,600
246,286,1996-03-27,monthly,Novy Jicin,2,1,,,,,F,,25900,15,68,74623,300
247,287,1993-10-27,monthly,Jindrichuv Hradec,1,0,,,,,F,,6300,15,121,27025,600
248,288,1995-03-18,monthly,Klatovy,1,0,,,,,F,,4600,15,87,37478,900
249,289,1994-03-17,monthly,Hl.m. Praha,1,0,,,,,F,,17400,15,117,69171,300
250,290,1993-12-02,monthly,Breclav,1,0,123696.0,2577.0,48.0,A,T,F,60000,15,160,144053,300
251,291,1997-06-08,monthly,Melnik,1,0,,,,,F,,63200,15,67,168515,7419
252,292,1997-02-26,monthly,Semily,2,0,,,,,F,,16300,15,43,29120,400
253,293,1997-05-04,monthly,Hl.m. Praha,2,0,,,,,F,,12700,15,43,50469,600
254,294,1997-01-05,monthly,Melnik,1,1,,,,,F,,18400,15,49,79589,700
255,295,1997-11-23,monthly,Zdar nad Sazavou,1,0,,,,,F,,27680,15,27,64950,200
256,296,1996-02-14,monthly,Semily,1,0,,,,,F,,7700,15,75,24955,300
257,297,1996-09-08,monthly,Ostrava - mesto,1,0,,,,,F,,22100,15,99,65624,200
258,298,1997-12-02,monthly,Jablonec n. Nisou,2,0,,,,,F,,39680,15,30,46829,1100
259,299,1993-04-05,monthly,Vsetin,1,0,,,,,F,,64100,15,181,154088,600
260,300,1993-06-23,monthly,Hl.m. Praha,2,1,,,,,F,,9000,15,130,76942,400
261,301,1995-09-10,monthly,Prostejov,2,0,,,,,F,,2850,15,75,24988,300
262,302,1996-05-09,monthly,Melnik,1,0,,,,,F,,6800,15,65,37845,6438
263,303,1996-07-25,monthly,Novy Jicin,1,1,112752.0,3132.0,36.0,C,T,F,35360,15,62,72230,900
264,304,1997-03-20,monthly,Kladno,1,0,,,,,F,,34700,15,43,95914,700
265,305,1996-10-18,monthly,Chomutov,1,0,,,,,F,,3600,15,49,23264,200
266,306,1993-06-08,monthly,Jindrichuv Hradec,1,0,,,,,F,,7200,15,150,34237,1000
267,307,1997-08-07,monthly,Plzen - mesto,1,1,,,,,F,,26700,15,35,74048,700
268,308,1995-10-16,monthly,Trebic,1,0,,,,,F,,4500,500,29,40581,400
269,309,1997-04-25,monthly,Ceske Budejovice,1,0,91248.0,1901.0,48.0,C,T,F,25400,15,42,59726,900
270,311,1997-08-08,monthly,Svitavy,2,1,,,,,F,,28320,15,38,68833,800
271,312,1996-01-03,monthly,Usti nad Labem,1,0,,,,,F,,14600,15,80,74047,500
272,313,1996-07-06,monthly,Opava,2,0,,,,,F,,2294,15,61,27975,700
273,315,1997-12-08,monthly,Jicin,1,0,,,,,F,,7300,300,7,24900,400
274,316,1997-05-08,monthly,Uherske Hradiste,1,0,,,,,F,,23100,15,69,70011,600
275,317,1993-03-10,monthly,Sumperk,1,0,,,,,F,,13350,15,141,43822,800
276,318,1994-09-16,monthly,Liberec,1,0,,,,,F,,25200,15,134,46629,200
277,320,1997-01-23,monthly,Pardubice,1,0,,,,,F,,14300,15,86,59073,800
278,321,1993-11-11,monthly,Pardubice,1,0,,,,,F,,9200,15,120,38693,1100
279,322,1993-02-20,monthly,Hl.m. Praha,2,0,,,,,F,,19600,15,144,59676,1000
280,323,1997-02-23,monthly,Usti nad Orlici,2,0,,,,,F,,9100,15,41,36131,200
281,324,1996-08-23,monthly,Hl.m. Praha,1,0,,,,,F,,6200,15,53,40672,500
282,325,1996-10-06,monthly,Prerov,1,0,,,,,F,,12600,15,55,27579,300
283,326,1997-08-06,monthly,Trebic,1,0,,,,,F,,6700,15,35,26543,5376
284,327,1993-06-02,monthly,Brno - mesto,1,0,,,,,F,,29400,15,143,82657,700
285,328,1997-09-18,monthly,Hl.m. Praha,2,0,,,,,F,,9300,15,29,28582,600
286,329,1996-10-19,monthly,Beroun,1,1,,,,,F,,30240,15,53,86907,1100
287,330,1996-11-24,monthly,Havlickuv Brod,2,0,331584.0,6908.0,48.0,C,T,F,27040,15,51,73943,400
288,331,1995-10-02,monthly,Znojmo,1,0,,,,,F,,7700,15,79,32991,1100
289,332,1996-01-12,monthly,Liberec,1,0,,,,,F,,8190,15,91,41712,300
290,333,1996-12-23,monthly,Opava,1,0,,,,,F,,2310,15,45,23460,700
291,334,1993-05-24,monthly,Hl.m. Praha,1,0,,,,,F,,31360,15,138,102027,500
292,335,1996-01-20,monthly,Ostrava - mesto,1,0,,,,,F,,5800,15,68,33757,1000
293,336,1995-10-16,monthly,Uherske Hradiste,1,0,,,,,F,,22400,15,78,66275,500
294,337,1995-11-25,monthly,Pelhrimov,2,0,,,,,F,,59600,15,82,136965,200
295,338,1995-11-18,monthly,Semily,1,0,,,,,F,,7980,15,80,27654,700
296,340,1993-11-03,monthly,Hl.m. Praha,2,0,,,,,F,,10000,15,125,47681,1000
297,341,1996-11-19,monthly,Plzen - sever,1,0,,,,,F,,28800,15,52,48204,600
298,342,1996-10-13,monthly,Zlin,1,0,,,,,F,,7320,15,49,24092,1000
299,343,1994-04-26,monthly,Pisek,1,0,,,,,F,,5400,15,132,32201,900
