"","account_id","open_date","statement_frequency","district_name","num_customers","credit_cards","loan_amount","loan_payments","loan_term","loan_status","loan","loan_default","max_withdrawal","min_withdrawal","id","date","type","amount","balance","bank","account","method","category","cc_payments","max_balance","min_balance"
"46",48,"1996-11-17","monthly","Tabor",2,1,NA,NA,NA,NA,"F",NA,25120,15,14569,"1996-11-17","credit",700,700,"",NA,"cash","",52,72803,700
"47",49,"1997-04-06","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,3520,15,14788,"1997-04-06","credit",300,300,"",NA,"cash","",43,24004,300
"48",50,"1994-05-06","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,23600,15,14915,"1994-05-06","credit",900,900,"",NA,"cash","",117,90088,900
"49",51,"1996-05-11","monthly","Bruntal",1,1,NA,NA,NA,NA,"F",NA,26300,15,15335,"1996-05-11","credit",800,800,"",NA,"cash","",63,106203,800
"50",52,"1997-01-29","monthly","Jindrichuv Hradec",1,0,NA,NA,NA,NA,"F",NA,42300,15,15568,"1997-01-29","credit",900,900,"",NA,"cash","",48,83077,900
"51",53,"1995-06-07","monthly","Vsetin",1,0,NA,NA,NA,NA,"F",NA,3900,15,15754,"1995-06-07","credit",700,700,"",NA,"cash","",87,27519,700
"52",54,"1995-05-02","monthly","Kladno",1,0,NA,NA,NA,NA,"F",NA,8070,15,15998,"1995-05-02","credit",1000,1000,"",NA,"cash","",89,29756,1000
"53",55,"1996-02-19","monthly","Strakonice",1,0,NA,NA,NA,NA,"F",NA,4300,15,16246,"1996-02-19","credit",300,300,"",NA,"cash","",65,23445,300
"54",56,"1994-05-16","monthly","Svitavy",1,0,NA,NA,NA,NA,"F",NA,29600,15,16428,"1994-05-16","credit",900,900,"",NA,"cash","",118,78757,900
"55",57,"1995-05-21","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,25300,15,16752,"1995-05-21","credit",700,700,"",NA,"cash","",87,77726,700
"56",58,"1996-08-23","monthly","Rokycany",1,0,NA,NA,NA,NA,"F",NA,14250,6,17041,"1996-08-23","credit",600,600,"",NA,"cash","",54,28954,-2204
"57",59,"1994-03-27","monthly","Hradec Kralove",1,0,NA,NA,NA,NA,"F",NA,22880,15,17228,"1994-03-27","credit",600,600,"",NA,"cash","",123,89720,600
"58",61,"1993-12-11","monthly","Karvina",2,0,NA,NA,NA,NA,"F",NA,5850,15,17956,"1993-12-11","credit",700,700,"",NA,"cash","",117,31765,700
"59",62,"1993-03-28","monthly","Pardubice",1,0,NA,NA,NA,NA,"F",NA,7600,15,18391,"1993-03-28","credit",1100,1100,"",NA,"cash","",135,36366,1100
"60",63,"1996-11-16","monthly","Domazlice",2,0,NA,NA,NA,NA,"F",NA,11650,15,18783,"1996-11-16","credit",600,600,"",NA,"cash","",47,37303,600
"61",64,"1997-03-11","monthly","Zlin",1,0,NA,NA,NA,NA,"F",NA,32200,200,18992,"1997-03-11","credit",200,200,"",NA,"cash","",30,79559,200
"62",65,"1996-10-29","monthly","Liberec",1,1,NA,NA,NA,NA,"F",NA,26800,15,19090,"1996-10-29","credit",600,600,"",NA,"cash","",53,85379,600
"63",66,"1993-12-03","after every transaction","Rychnov nad Kneznou",1,1,NA,NA,NA,NA,"F",NA,60900,100,19358,"1993-12-03","credit",400,400,"",NA,"cash","",123,129813,400
"64",67,"1994-10-19","monthly","Jindrichuv Hradec",1,0,165960,6915,24,"A","T","F",61500,15,19809,"1994-10-19","credit",700,700,"",NA,"cash","",102,134939,700
"65",68,"1994-12-20","after every transaction","Litomerice",1,1,NA,NA,NA,NA,"F",NA,61000,61,20283,"1994-12-20","credit",200,200,"",NA,"cash","",98,131470,200
"66",69,"1996-01-12","monthly","Zlin",1,0,NA,NA,NA,NA,"F",NA,22800,15,20836,"1996-01-12","credit",600,600,"",NA,"cash","",123,71708,600
"67",70,"1995-02-18","monthly","Mlada Boleslav",2,0,NA,NA,NA,NA,"F",NA,20320,15,21041,"1995-02-18","credit",500,500,"",NA,"cash","",101,60184,500
"68",71,"1994-03-05","monthly","Hl.m. Praha",2,1,NA,NA,NA,NA,"F",NA,39520,15,21305,"1994-03-05","credit",700,700,"",NA,"cash","",118,94860,700
"69",72,"1996-06-20","weekly","Hl.m. Praha",2,0,NA,NA,NA,NA,"F",NA,62800,30,21849,"1996-06-20","credit",1100,1100,"",NA,"cash","",92,156396,1100
"70",73,"1993-11-08","monthly","Olomouc",1,1,NA,NA,NA,NA,"F",NA,44160,15,22178,"1993-11-08","credit",400,400,"",NA,"cash","",128,89175,400
"71",75,"1995-08-13","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,20300,15,22834,"1995-08-13","credit",700,700,"",NA,"cash","",82,49848,700
"72",76,"1996-05-16","monthly","Usti nad Orlici",1,0,NA,NA,NA,NA,"F",NA,22400,15,23105,"1996-05-16","credit",200,200,"",NA,"cash","",73,49609,200
"73",77,"1996-11-19","monthly","Vyskov",1,0,NA,NA,NA,NA,"F",NA,36200,15,23297,"1996-11-19","credit",400,400,"",NA,"cash","",52,56325,400
"74",78,"1993-07-07","monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,"F",NA,21100,15,23525,"1993-07-07","credit",400,400,"",NA,"cash","",137,78733,400
"75",79,"1996-11-29","monthly","Beroun",1,0,NA,NA,NA,NA,"F",NA,3680,15,23952,"1996-11-29","credit",600,600,"",NA,"cash","",47,27474,600
"76",80,"1995-09-27","monthly","Hradec Kralove",2,0,NA,NA,NA,NA,"F",NA,5250,15,24109,"1995-09-27","credit",900,900,"",NA,"cash","",75,28082,900
"77",81,"1996-07-18","monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,"F",NA,3800,15,24346,"1996-07-18","credit",1000,1000,"",NA,"cash","",74,39080,1000
"78",82,"1994-05-03","monthly","Plzen - mesto",1,0,NA,NA,NA,NA,"F",NA,61100,15,24628,"1994-05-03","credit",300,300,"",NA,"cash","",144,161574,300
"79",83,"1993-04-16","monthly","Plzen - mesto",2,0,NA,NA,NA,NA,"F",NA,14080,15,25020,"1993-04-16","credit",500,500,"",NA,"cash","",147,42435,500
"80",84,"1995-12-25","after every transaction","Chrudim",1,0,NA,NA,NA,NA,"F",NA,45600,100,25512,"1995-12-25","credit",1100,1100,"",NA,"cash","",93,133184,1100
"81",85,"1997-03-23","monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,"F",NA,7200,15,25881,"1997-03-23","credit",400,400,"",NA,"cash","",54,59467,400
"82",86,"1993-03-07","monthly","Brno - mesto",2,0,NA,NA,NA,NA,"F",NA,8880,15,26045,"1993-03-07","credit",800,800,"",NA,"cash","",141,28700,800
"83",88,"1996-07-03","monthly","Tachov",1,0,NA,NA,NA,NA,"F",NA,2550,15,26744,"1996-07-03","credit",300,300,"",NA,"cash","",61,27174,300
"84",89,"1997-09-25","monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,"F",NA,10200,15,26928,"1997-09-25","credit",600,600,"",NA,"cash","",33,39075,600
"85",90,"1994-07-13","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,25120,15,27031,"1994-07-13","credit",500,500,"",NA,"cash","",110,74107,500
"86",91,"1996-11-06","monthly","Pelhrimov",1,0,NA,NA,NA,NA,"F",NA,34700,1,27571,"1996-11-06","credit",300,300,"",NA,"cash","",42,77111,-4188
"87",93,"1996-06-12","monthly","Benesov",1,0,NA,NA,NA,NA,"F",NA,24400,15,28181,"1996-06-12","credit",500,500,"",NA,"cash","",66,38377,500
"88",95,"1995-03-30","monthly","Hl.m. Praha",2,1,NA,NA,NA,NA,"F",NA,32000,15,28865,"1995-03-30","credit",200,200,"",NA,"cash","",92,97808,200
"89",96,"1993-02-18","monthly","Frydek - Mistek",2,1,NA,NA,NA,NA,"F",NA,67500,15,29107,"1993-02-18","credit",1100,1100,"",NA,"cash","",146,156580,1100
"90",97,"1996-05-05","monthly","Ostrava - mesto",2,1,102876,8573,12,"A","T","F",18600,3,29886,"1996-05-05","credit",900,900,"",NA,"cash","",67,67288,900
"91",98,"1997-05-02","monthly","Brno - venkov",2,0,NA,NA,NA,NA,"F",NA,7700,15,30223,"1997-05-02","credit",1100,1100,"",NA,"cash","",41,25586,1100
"92",99,"1995-06-27","monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,"F",NA,64900,15,30376,"1995-06-27","credit",600,600,"",NA,"cash","",93,122885,600
"93",100,"1993-12-28","monthly","Usti nad Labem",1,0,NA,NA,NA,NA,"F",NA,35040,15,30700,"1993-12-28","credit",600,600,"",NA,"cash","",145,84377,600
"94",101,"1996-04-16","monthly","Jablonec n. Nisou",1,0,NA,NA,NA,NA,"F",NA,46240,15,31194,"1996-04-16","credit",1000,1000,"",NA,"cash","",71,81423,1000
"95",102,"1993-10-16","monthly","Praha - zapad",1,0,NA,NA,NA,NA,"F",NA,29600,0,31442,"1993-10-16","credit",400,400,"",NA,"cash","",118,96777,-7104
"96",103,"1996-03-10","monthly","Chrudim",1,0,265320,7370,36,"D","T","T",62700,4,31998,"1996-03-10","credit",1000,1000,"",NA,"cash","",84,124758,-1140
"97",104,"1993-04-15","monthly","Litomerice",2,0,NA,NA,NA,NA,"F",NA,8700,15,32215,"1993-04-15","credit",500,500,"",NA,"cash","",133,31741,500
"98",105,"1997-07-10","monthly","Tabor",1,1,352704,7348,48,"C","T","F",29900,15,32642,"1997-07-10","credit",800,800,"",NA,"cash","",30,74694,800
"99",106,"1994-11-27","monthly","Vyskov",1,1,NA,NA,NA,NA,"F",NA,18800,15,32756,"1994-11-27","credit",500,500,"",NA,"cash","",99,76991,500
"100",107,"1993-11-05","monthly","Zlin",1,0,NA,NA,NA,NA,"F",NA,5760,15,33104,"1993-11-05","credit",1000,1000,"",NA,"cash","",152,50612,1000
"101",108,"1995-03-10","monthly","Blansko",1,1,NA,NA,NA,NA,"F",NA,34720,15,33674,"1995-03-10","credit",800,800,"",NA,"cash","",94,88609,800
"102",109,"1997-04-20","monthly","Blansko",1,1,NA,NA,NA,NA,"F",NA,9100,15,33941,"1997-04-20","credit",1100,1100,"",NA,"cash","",70,53624,1100
"103",110,"1996-07-17","monthly","Liberec",1,1,162576,4516,36,"C","T","F",44480,15,34076,"1996-07-17","credit",900,900,"",NA,"cash","",61,79652,900
"104",112,"1993-03-12","monthly","Kutna Hora",2,0,NA,NA,NA,NA,"F",NA,38500,15,34884,"1993-03-12","credit",200,200,"",NA,"cash","",141,52895,200
"105",113,"1996-07-22","monthly","Brno - venkov",1,0,NA,NA,NA,NA,"F",NA,6800,15,35283,"1996-07-22","credit",600,600,"",NA,"cash","",55,32697,600
"106",114,"1997-03-14","monthly","Prostejov",1,0,NA,NA,NA,NA,"F",NA,6000,15,35458,"1997-03-14","credit",500,500,"",NA,"cash","",39,27332,500
"107",115,"1993-03-19","monthly","Frydek - Mistek",1,1,NA,NA,NA,NA,"F",NA,11100,15,35597,"1993-03-19","credit",800,800,"",NA,"cash","",158,52047,800
"108",116,"1996-03-21","monthly","Mlada Boleslav",2,0,NA,NA,NA,NA,"F",NA,31400,15,36000,"1996-03-21","credit",800,800,"",NA,"cash","",68,77466,800
"109",117,"1993-09-05","monthly","Tachov",1,0,NA,NA,NA,NA,"F",NA,11200,15,36245,"1993-09-05","credit",900,900,"",NA,"cash","",129,32382,900
"110",118,"1997-09-18","monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,"F",NA,5000,15,36632,"1997-09-18","credit",600,600,"",NA,"cash","",37,40532,600
"111",119,"1993-05-25","monthly","Plzen - jih",1,0,NA,NA,NA,NA,"F",NA,21200,15,36763,"1993-05-25","credit",800,800,"",NA,"cash","",135,70508,800
"112",120,"1995-06-16","weekly","Znojmo",1,0,NA,NA,NA,NA,"F",NA,64800,30,37199,"1995-06-16","credit",1100,1100,"",NA,"cash","",105,131889,1100
"113",121,"1997-10-11","monthly","Brno - venkov",1,0,NA,NA,NA,NA,"F",NA,5600,15,37564,"1997-10-11","credit",200,200,"",NA,"cash","",39,37504,200
"114",122,"1996-10-30","monthly","Tachov",1,1,NA,NA,NA,NA,"F",NA,29400,15,37743,"1996-10-30","credit",900,900,"",NA,"cash","",53,86062,900
"115",123,"1993-03-13","monthly","Tabor",2,0,NA,NA,NA,NA,"F",NA,4500,15,37883,"1993-03-13","credit",200,200,"",NA,"cash","",135,27494,200
"116",124,"1997-12-28","monthly","Brno - venkov",1,0,NA,NA,NA,NA,"F",NA,4900,15,38270,"1997-12-28","credit",800,800,"",NA,"cash","",29,26468,800
"117",125,"1996-09-07","after every transaction","Benesov",1,0,NA,NA,NA,NA,"F",NA,64000,100,38440,"1996-09-07","credit",200,200,"",NA,"cash","",66,130433,200
"118",126,"1993-10-23","monthly","Kolin",1,0,NA,NA,NA,NA,"F",NA,48900,15,38689,"1993-10-23","credit",200,200,"",NA,"cash","",140,118219,200
"119",127,"1994-02-02","monthly","Rokycany",1,0,NA,NA,NA,NA,"F",NA,6400,15,39154,"1994-02-02","credit",600,600,"",NA,"cash","",119,23673,600
"120",128,"1993-02-19","monthly","Benesov",1,1,NA,NA,NA,NA,"F",NA,21900,15,39477,"1993-02-19","credit",300,300,"",NA,"cash","",208,86413,300
"121",129,"1997-10-01","monthly","Ostrava - mesto",2,0,NA,NA,NA,NA,"F",NA,7200,15,39895,"1997-10-01","credit",600,600,"",NA,"cash","",31,29052,600
"122",130,"1997-02-12","monthly","Brno - mesto",1,0,NA,NA,NA,NA,"F",NA,7350,15,40022,"1997-02-12","credit",300,300,"",NA,"cash","",42,35067,300
"123",131,"1995-06-13","monthly","Usti nad Orlici",1,0,NA,NA,NA,NA,"F",NA,33000,15,40151,"1995-06-13","credit",1100,16634,"",NA,"cash","",90,48212,5496
"124",132,"1996-05-11","after every transaction","Teplice",2,1,88440,7370,12,"A","T","F",46500,100,40404,"1996-05-11","credit",200,200,"",NA,"cash","",79,144112,200
"125",133,"1997-10-11","weekly","Zlin",1,0,NA,NA,NA,NA,"F",NA,64600,30,40670,"1997-10-11","credit",900,900,"",NA,"cash","",44,144565,900
"126",134,"1997-12-10","monthly","Chomutov",1,1,NA,NA,NA,NA,"F",NA,12700,15,40885,"1997-12-10","credit",300,300,"",NA,"cash","",27,47697,300
"127",135,"1993-06-15","monthly","Prerov",1,0,NA,NA,NA,NA,"F",NA,24700,15,40984,"1993-06-15","credit",700,700,"",NA,"cash","",161,75906,700
"128",136,"1996-05-14","monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,"F",NA,8100,15,41342,"1996-05-14","credit",600,600,"",NA,"cash","",60,32170,600
"129",137,"1996-07-19","monthly","Karvina",1,0,NA,NA,NA,NA,"F",NA,36000,15,41533,"1996-07-19","credit",900,900,"",NA,"cash","",59,81958,900
"130",138,"1995-09-19","monthly","Domazlice",2,0,NA,NA,NA,NA,"F",NA,4700,200,41769,"1995-09-19","credit",1100,1100,"",NA,"cash","",15,21200,1100
"131",139,"1997-05-15","weekly","Louny",1,1,NA,NA,NA,NA,"F",NA,35300,30,41894,"1997-05-15","credit",1000,1000,"",NA,"cash","",39,88778,1000
"132",140,"1996-06-25","monthly","Karlovy Vary",1,0,NA,NA,NA,NA,"F",NA,24600,15,42026,"1996-06-25","credit",300,300,"",NA,"cash","",42,84824,300
"133",141,"1996-03-06","monthly","Louny",2,0,NA,NA,NA,NA,"F",NA,45100,15,42178,"1996-03-06","credit",900,900,"",NA,"cash","",69,89665,900
"134",142,"1993-02-15","monthly","Trutnov",2,0,NA,NA,NA,NA,"F",NA,6200,15,42520,"1993-02-15","credit",900,900,"",NA,"cash","",137,30167,900
"135",143,"1996-11-27","monthly","Tabor",1,0,NA,NA,NA,NA,"F",NA,4500,15,42894,"1996-11-27","credit",500,500,"",NA,"cash","",47,27564,500
"136",144,"1997-04-03","weekly","Praha - vychod",1,1,NA,NA,NA,NA,"F",NA,64700,2,43073,"1997-04-03","credit",500,500,"",NA,"cash","",53,123234,-2469
"137",145,"1996-01-03","monthly","Tachov",1,0,NA,NA,NA,NA,"F",NA,28900,15,43220,"1996-01-03","credit",1100,1100,"",NA,"cash","",94,68969,1100
"138",146,"1993-09-02","monthly","Kladno",1,0,NA,NA,NA,NA,"F",NA,11050,15,43442,"1993-09-02","credit",500,500,"",NA,"cash","",129,38814,500
"139",148,"1993-06-21","monthly","Mlada Boleslav",1,0,NA,NA,NA,NA,"F",NA,3400,15,44071,"1993-06-21","credit",500,500,"",NA,"cash","",129,27206,500
"140",149,"1997-11-16","monthly","Hradec Kralove",1,0,NA,NA,NA,NA,"F",NA,21200,15,44584,"1997-11-16","credit",300,300,"",NA,"cash","",44,58484,300
"141",150,"1995-03-16","monthly","Opava",1,0,NA,NA,NA,NA,"F",NA,27400,15,44703,"1995-03-16","credit",900,2800,"",NA,"cash","",130,98752,1900
"142",151,"1993-09-06","monthly","Sumperk",2,0,NA,NA,NA,NA,"F",NA,7100,15,44970,"1993-09-06","credit",1000,1000,"",NA,"cash","",147,34425,1000
"143",152,"1996-04-12","monthly","Hl.m. Praha",2,0,NA,NA,NA,NA,"F",NA,6300,15,45451,"1996-04-12","credit",1100,1100,"",NA,"cash","",76,35746,1100
"144",153,"1993-09-19","monthly","Vsetin",1,0,NA,NA,NA,NA,"F",NA,17200,15,45701,"1993-09-19","credit",400,400,"",NA,"cash","",129,53039,400
"145",154,"1994-06-21","monthly","Nachod",1,0,NA,NA,NA,NA,"F",NA,18900,15,46170,"1994-06-21","credit",900,900,"",NA,"cash","",111,96137,900
"146",155,"1995-11-07","monthly","Jihlava",1,0,NA,NA,NA,NA,"F",NA,14560,15,46528,"1995-11-07","credit",300,300,"",NA,"cash","",95,38532,300
"147",156,"1997-10-22","monthly","Zlin",1,0,NA,NA,NA,NA,"F",NA,8430,15,46800,"1997-10-22","credit",1000,1000,"",NA,"cash","",25,21707,1000
"148",157,"1997-03-28","monthly","Praha - zapad",1,0,NA,NA,NA,NA,"F",NA,6300,15,46913,"1997-03-28","credit",200,200,"",NA,"cash","",40,39576,200
"149",158,"1995-03-15","monthly","Litomerice",2,0,NA,NA,NA,NA,"F",NA,33200,15,47038,"1995-03-15","credit",700,700,"",NA,"cash","",91,83034,700
"150",159,"1997-02-11","monthly","Karvina",1,1,NA,NA,NA,NA,"F",NA,25600,15,47332,"1997-02-11","credit",800,800,"",NA,"cash","",46,103034,800
"151",160,"1993-09-04","monthly","Cheb",1,0,NA,NA,NA,NA,"F",NA,57100,15,47463,"1993-09-04","credit",400,400,"",NA,"cash","",152,113217,400
"152",161,"1994-07-04","monthly","Plzen - sever",1,0,NA,NA,NA,NA,"F",NA,14450,15,47962,"1994-07-04","credit",900,900,"",NA,"cash","",109,29469,900
"153",162,"1993-08-25","monthly","Prostejov",2,0,NA,NA,NA,NA,"F",NA,13900,15,48311,"1993-08-25","credit",200,200,"",NA,"cash","",125,40827,200
"154",163,"1993-01-27","monthly","Sokolov",1,0,NA,NA,NA,NA,"F",NA,9050,15,48640,"1993-01-27","credit",900,900,"",NA,"cash","",141,43752,900
"155",164,"1996-09-13","monthly","Prostejov",1,0,NA,NA,NA,NA,"F",NA,21700,100,49105,"1996-09-13","credit",200,200,"",NA,"cash","",32,67994,200
"156",165,"1993-06-01","monthly","Klatovy",2,0,NA,NA,NA,NA,"F",NA,14650,15,49245,"1993-06-01","credit",1000,1000,"",NA,"cash","",135,62489,1000
"157",166,"1996-08-20","monthly","Pelhrimov",1,0,NA,NA,NA,NA,"F",NA,4300,15,49653,"1996-08-20","credit",800,800,"",NA,"cash","",53,31842,800
"158",167,"1996-02-26","weekly","Rokycany",1,1,NA,NA,NA,NA,"F",NA,55100,30,49814,"1996-02-26","credit",1100,1100,"",NA,"cash","",83,126467,1100
